timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
2025-05-23 16:43:00,667.81000000,667.90000000,667.51000000,667.60000000,36.28300000,1748018639999,24225.99095000,629,15.69800000,10481.30306000,0
2025-05-23 16:44:00,667.60000000,667.68000000,667.58000000,667.63000000,28.56500000,1748018699999,19071.42127000,315,11.91600000,7955.72160000,0
2025-05-23 16:45:00,667.63000000,668.15000000,667.62000000,668.10000000,65.67300000,1748018759999,43868.81403000,438,48.96900000,32710.09675000,0
2025-05-23 16:46:00,668.11000000,668.40000000,668.01000000,668.39000000,73.29500000,1748018819999,48966.72832000,440,39.31000000,26262.96950000,0
2025-05-23 16:47:00,668.40000000,668.57000000,668.23000000,668.40000000,111.39900000,1748018879999,74462.61827000,554,77.36400000,51715.48870000,0
2025-05-23 16:48:00,668.39000000,668.71000000,668.39000000,668.70000000,47.91600000,1748018939999,32035.33709000,614,32.67700000,21846.71361000,0
2025-05-23 16:49:00,668.70000000,668.90000000,668.52000000,668.90000000,109.74800000,1748018999999,73393.91932000,471,84.12600000,56258.41103000,0
2025-05-23 16:50:00,668.89000000,669.10000000,668.86000000,668.92000000,173.42900000,1748019059999,116022.03339000,474,91.58200000,61272.76441000,0
2025-05-23 16:51:00,668.93000000,668.98000000,668.73000000,668.88000000,61.44800000,1748019119999,41100.37516000,401,22.99200000,15378.50633000,0
2025-05-23 16:52:00,668.88000000,668.88000000,668.33000000,668.51000000,79.13200000,1748019179999,52902.57091000,401,62.96700000,42095.34475000,0
2025-05-23 16:53:00,668.52000000,668.80000000,668.52000000,668.68000000,26.31700000,1748019239999,17598.11520000,361,9.03500000,6041.40735000,0
2025-05-23 16:54:00,668.69000000,668.83000000,668.63000000,668.76000000,69.10200000,1748019299999,46210.63889000,271,36.87300000,24657.34501000,0
2025-05-23 16:55:00,668.75000000,669.11000000,668.75000000,669.10000000,48.78200000,1748019359999,32635.11506000,248,34.27000000,22927.17758000,0
2025-05-23 16:56:00,669.09000000,669.10000000,668.80000000,668.84000000,43.65100000,1748019419999,29202.13963000,294,16.45000000,11005.19655000,0
2025-05-23 16:57:00,668.84000000,669.33000000,668.84000000,669.33000000,280.86000000,1748019479999,187965.36546000,628,101.29100000,67781.52795000,0
2025-05-23 16:58:00,669.33000000,669.45000000,669.29000000,669.45000000,51.24500000,1748019539999,34300.22417000,224,31.62900000,21171.09104000,0
2025-05-23 16:59:00,669.45000000,669.52000000,669.35000000,669.44000000,35.03200000,1748019599999,23452.14223000,265,24.60200000,16470.10479000,0
